ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
RInfPole,ExperimentE1>E3,-0.02,0.06,0.973,
RInfPole,EffectS-N:ExperimentE2>E3,-0.04,0.08,0.86,
RInfPole,EffectH-E:ExperimentE2>E3,0.03,0.07,0.838,
RInfPole,EffectTaskSem>Perc:ExperimentE2>E3,0,0.12,0.998,
RInfPole,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.03,0.12,0.945,
RInfPole,EffectTask:StimType:ExperimentE2>E3,0.02,0.12,0.836,
RInfPole,EffectSent_Sem>S:ExperimentE2>E3,0.07,0.08,0.678,
RInfPole,EffectSemTask>WMTask:ExperimentE2>E3,0.18,0.1,0.118,
RInfPole,EffectS-N:ExperimentE1>E3,0.05,0.09,0.932,
RInfPole,EffectTaskSem>Perc:ExperimentE1>E3,-0.05,0.13,0.789,
RInfPole,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.1,0.13,0.487,
RInfPole,EffectTask:StimType:ExperimentE1>E3,0.03,0.13,0.973,
RInfPole,EffectSent_Sem>S:ExperimentE1>E3,0.02,0.09,0.787,
LInfPoleMid,(Intercept),0.26,0.05,<.001,***
LInfPoleMid,EffectS-N,0.34,0.07,<.001,***
LInfPoleMid,EffectH-E,-0.27,0.09,0.006,**
LInfPoleMid,EffectTaskSem>Perc,0.78,0.11,<.001,***
LInfPoleMid,EffectStimTypeSent>Pic,0.07,0.11,0.514,
LInfPoleMid,EffectTask:StimType,-0.01,0.11,0.962,
LInfPoleMid,EffectSent_Sem>S,-0.06,0.07,0.552,
LInfPoleMid,EffectSemTask>WMTask,1.3,0.12,<.001,***
LInfPoleMid,ExperimentE2>E3,0.02,0.06,0.807,
LInfPoleMid,ExperimentE1>E3,-0.09,0.08,0.85,
LInfPoleMid,EffectS-N:ExperimentE2>E3,0.03,0.11,0.86,
LInfPoleMid,EffectH-E:ExperimentE2>E3,0.05,0.09,0.838,
LInfPoleMid,EffectTaskSem>Perc:ExperimentE2>E3,-0.05,0.15,0.998,
LInfPoleMid,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.08,0.15,0.945,
LInfPoleMid,EffectTask:StimType:ExperimentE2>E3,-0.04,0.15,0.836,
LInfPoleMid,EffectSent_Sem>S:ExperimentE2>E3,-0.06,0.11,0.678,
LInfPoleMid,EffectSemTask>WMTask:ExperimentE2>E3,-0.11,0.12,0.505,
LInfPoleMid,EffectS-N:ExperimentE1>E3,-0.08,0.11,0.932,
LInfPoleMid,EffectTaskSem>Perc:ExperimentE1>E3,-0.33,0.16,0.156,
LInfPoleMid,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.19,0.16,0.487,
LInfPoleMid,EffectTask:StimType:ExperimentE1>E3,0.05,0.16,0.973,
LInfPoleMid,EffectSent_Sem>S:ExperimentE1>E3,0.03,0.11,0.787,
RInfPoleMid,(Intercept),0.15,0.05,0.004,**
RInfPoleMid,EffectS-N,0.18,0.07,0.021,*
RInfPoleMid,EffectH-E,-0.25,0.08,0.006,**
RInfPoleMid,EffectTaskSem>Perc,0.53,0.1,<.001,***
RInfPoleMid,EffectStimTypeSent>Pic,-0.14,0.1,0.354,
RInfPoleMid,EffectTask:StimType,-0.12,0.1,0.486,
RInfPoleMid,EffectSent_Sem>S,-0.07,0.07,0.552,
RInfPoleMid,EffectSemTask>WMTask,0.95,0.12,<.001,***
RInfPoleMid,ExperimentE2>E3,0.04,0.06,0.623,
RInfPoleMid,ExperimentE1>E3,-0.06,0.07,0.85,
RInfPoleMid,EffectS-N:ExperimentE2>E3,-0.02,0.1,0.86,
RInfPoleMid,EffectH-E:ExperimentE2>E3,0.04,0.08,0.838,
RInfPoleMid,EffectTaskSem>Perc:ExperimentE2>E3,0.04,0.14,0.998,
RInfPoleMid,EffectStimTypeSent>Pic:ExperimentE2>E3,0.01,0.14,0.945,
RInfPoleMid,EffectTask:StimType:ExperimentE2>E3,0.05,0.14,0.836,
RInfPoleMid,EffectSent_Sem>S:ExperimentE2>E3,0.04,0.1,0.678,
RInfPoleMid,EffectSemTask>WMTask:ExperimentE2>E3,0.05,0.12,0.643,
RInfPoleMid,EffectS-N:ExperimentE1>E3,0.01,0.11,0.932,
RInfPoleMid,EffectTaskSem>Perc:ExperimentE1>E3,-0.16,0.15,0.574,
RInfPoleMid,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.11,0.15,0.487,
RInfPoleMid,EffectTask:StimType:ExperimentE1>E3,0.01,0.15,0.973,
RInfPoleMid,EffectSent_Sem>S:ExperimentE1>E3,-0.04,0.11,0.787,
